Number	Released	Released Worldwide	Year	Year	Title	Theatrical Distributor	Genre	Source	Production Method	Creative Type	Production Budget	Opening Weekend Theaters	Maximum Theaters	Theatrical Engagements	Opening Weekend Revenue	Domestic Box Office	Infl. Adj. Dom. Box Office	International Box Office	Worldwide Box Office
1	Feb 24, 2017	Feb 24, 2017	2017	2017	Get Out	Universal	Horror	Original Screenplay	Live Action	Contemporary Fiction	$5,000,000	2,781	2,781	2,781	$33,377,060	$46,227,375	$46,227,375	$0	$46,227,375
2	Feb 3, 2017	Feb 3, 2017	2017	2017	Rings	Paramount Pictures	Horror	Original Screenplay	Live Action	Contemporary Fiction	$25,000,000	2,931	2,931	8,141	$13,002,632	$27,443,754	$27,443,754	$47,400,000	$74,843,754
3	Jan 20, 2017	Jan 18, 2017	2017	2017	Split	Universal	Horror	Original Screenplay	Live Action	Contemporary Fiction	$5,000,000	3,038	3,373	16,917	$40,010,975	$131,719,440	$131,719,440	$90,367,218	$222,086,658
4	Oct 21, 2016	Oct 20, 2016	2016	2016	Ouija: Origin of Evil	Universal	Horror	Based on Game	Live Action	Fantasy	$9,000,000	3,167	3,168	10,634	$14,065,500	$35,144,505	$35,144,505	$46,687,361	$81,831,866
5	Sep 16, 2016	Sep 15, 2016	2016	2016	Blair Witch	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	$10,000,000	3,121	3,121	9,147	$9,576,057	$20,777,061	$20,777,061	$16,716,160	$37,493,221
6	Sep 2, 2016	Sep 2, 2016	2016	2016	Antibirth	IFC Midnight	Horror	Original Screenplay	Live Action	Science Fiction	$2,500,000	0	0	0	$0	$0	$0	$0	$0
7	Aug 26, 2016	Aug 25, 2016	2016	2016	Don’t Breathe	Sony Pictures	Horror	Original Screenplay	Live Action	Contemporary Fiction	$10,000,000	3,051	3,384	19,498	$26,411,706	$89,217,875	$89,217,875	$68,967,198	$158,185,073
8	Jul 22, 2016	Jul 21, 2016	2016	2016	Lights Out	Warner Bros.	Horror	Based on Short Film	Live Action	Fantasy	$5,000,000	2,818	2,835	12,695	$21,688,103	$67,268,835	$67,268,835	$81,600,000	$148,868,835
9	Jul 1, 2016	Jul 1, 2016	2016	2016	The Purge: Election Year	Universal	Horror	Original Screenplay	Live Action	Science Fiction	$10,000,000	2,796	2,821	10,822	$31,515,110	$79,042,440	$79,042,440	$39,514,684	$118,557,124
10	Jun 24, 2016	Jun 9, 2016	2016	2016	The Neon Demon	Broad Green Pictures	Horror	Original Screenplay	Live Action	Contemporary Fiction	$7,500,000	783	783	1,013	$589,014	$1,333,124	$1,333,124	$1,120,158	$2,453,282
