Number	Released	Released Worldwide	Year	Year	Title	Theatrical Distributor	Genre	Source	Production Method	Creative Type	Production Budget	Opening Weekend Theaters	Maximum Theaters	Theatrical Engagements	Opening Weekend Revenue	Domestic Box Office	Infl. Adj. Dom. Box Office	International Box Office	Worldwide Box Office
1	Feb 24 2017	Feb 24 2017	2017	2017	Get Out	Universal	Horror	Original Screenplay	Live Action	Contemporary Fiction	5000000	2781	2781	2781	33377060	46227375	46227375	0	46227375
2	Feb 3 2017	Feb 3 2017	2017	2017	Rings	Paramount Pictures	Horror	Original Screenplay	Live Action	Contemporary Fiction	25000000	2931	2931	8141	13002632	27443754	27443754	47400000	74843754
3	Jan 20 2017	Jan 18 2017	2017	2017	Split	Universal	Horror	Original Screenplay	Live Action	Contemporary Fiction	5000000	3038	3373	16917	40010975	131719440	131719440	90367218	222086658
4	Oct 21 2016	Oct 20 2016	2016	2016	Ouija: Origin of Evil	Universal	Horror	Based on Game	Live Action	Fantasy	9000000	3167	3168	10634	14065500	35144505	35144505	46687361	81831866
5	Sep 16 2016	Sep 15 2016	2016	2016	Blair Witch	Lionsgate	Horror	Original Screenplay	Live Action	Contemporary Fiction	10000000	3121	3121	9147	9576057	20777061	20777061	16716160	37493221
6	Sep 2 2016	Sep 2 2016	2016	2016	Antibirth	IFC Midnight	Horror	Original Screenplay	Live Action	Science Fiction	2500000	0	0	0	0	0	0	0	0
7	Aug 26 2016	Aug 25 2016	2016	2016	Don’t Breathe	Sony Pictures	Horror	Original Screenplay	Live Action	Contemporary Fiction	10000000	3051	3384	19498	26411706	89217875	89217875	68967198	158185073
8	Jul 22 2016	Jul 21 2016	2016	2016	Lights Out	Warner Bros.	Horror	Based on Short Film	Live Action	Fantasy	5000000	2818	2835	12695	21688103	67268835	67268835	81600000	148868835
9	Jul 1 2016	Jul 1 2016	2016	2016	The Purge: Election Year	Universal	Horror	Original Screenplay	Live Action	Science Fiction	10000000	2796	2821	10822	31515110	79042440	79042440	39514684	118557124
10	Jun 24 2016	Jun 9 2016	2016	2016	The Neon Demon	Broad Green Pictures	Horror	Original Screenplay	Live Action	Contemporary Fiction	7500000	783	783	1013	589014	1333124	1333124	1120158	2453282
